# tag,kind -- 细分分类（大类/子类），未列出 = 未分类；改规则请改 _dev_tests/_gen_tag_kind.py 重跑
apple_in_mouth,person/body
apple_juice,object/food
apple_on_head,person/body
apple_peel,object/food
apple_pie,object/food
apple_print,object/food
apple_rabbit,object/food
apple_slice,object/food
apple_tree,scene/nature
apple_watch,object/food
applying_another's_makeup,person/eyes
applying_bandages,clothing/accessory
applying_makeup,person/eyes
applying_makeup_on_another,person/eyes
applying_mascara,person/eyes
applying_own_makeup,person/eyes
apricot_(fruit),object/food
apricot_blossom,scene/nature
apron,clothing/whole
apron_aside,clothing/whole
apron_basket,clothing/whole
apron_between_breasts,clothing/whole
apron_grab,clothing/whole
apron_hold,clothing/whole
apron_lift,clothing/whole
apron_only,clothing/whole
apron_pull,clothing/whole
apron_tug,clothing/whole
aps_rifle,object/weapon
aqua_(konosuba)_(cosplay),style/medium
aqua_apron,clothing/whole
aqua_background,scene/background
aqua_bag,clothing/accessory
aqua_belt,clothing/accessory
aqua_bikini,clothing/whole
aqua_bodysuit,clothing/whole
aqua_boots,clothing/footwear
aqua_border,camera/framing
aqua_bow,clothing/head
aqua_bowtie,clothing/accessory
aqua_bra,clothing/top
aqua_brooch,clothing/accessory
aqua_camisole,clothing/top
aqua_cape,clothing/top
aqua_cardigan,clothing/top
aqua_choker,clothing/accessory
aqua_cloak,clothing/top
aqua_coat,clothing/top
aqua_collar,clothing/accessory
aqua_detached_collar,clothing/accessory
aqua_dress,clothing/whole
aqua_eyes,person/eyes
aqua_eyeshadow,person/eyes
aqua_flower,scene/nature
aqua_footwear,clothing/footwear
aqua_gloves,clothing/accessory
aqua_hair,person/hair
aqua_hairband,clothing/head
aqua_hanfu,clothing/whole
aqua_hat,clothing/head
aqua_headband,clothing/head
aqua_hood,clothing/head
aqua_hoodie,clothing/top
aqua_jacket,clothing/top
aqua_kimono,clothing/whole
aqua_leotard,clothing/whole
aqua_lips,person/body
aqua_male_swimwear,person/count
aqua_male_underwear,person/count
aqua_neckerchief,clothing/accessory
aqua_necktie,clothing/accessory
aqua_one_piece_swimsuit,clothing/whole
aqua_overalls,clothing/whole
aqua_pajamas,clothing/whole
aqua_pants,clothing/bottom
aqua_pantyhose,clothing/legwear
aqua_pubic_hair,sex/body
aqua_pupils,person/eyes
aqua_ribbon,clothing/head
aqua_robe,clothing/whole
aqua_sailor_collar,clothing/accessory
aqua_sandals,clothing/footwear
aqua_sash,clothing/accessory
aqua_scarf,clothing/accessory
aqua_sclera,person/eyes
aqua_shirt,clothing/top
aqua_shoes,clothing/footwear
aqua_shorts,clothing/bottom
aqua_skin,person/body
aqua_skirt,clothing/bottom
